trade_date,vintage,open,high,low,close,chg_pct,total_vol_t,total_amt_cny,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,auction_vol_t,auction_amt_cny,source_month
2025-12-18,CEA22,60.0,60.0,60.0,60.0,2.56,7958.0,477480.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-18,CEA23,60.1,61.5,60.1,60.82,1.43,61056.0,3713701.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-18,CEA24,60.0,62.5,60.0,61.0,1.79,716751.0,43721004.0,710789.0,44155120.0,710789.0,44155120.0,0.0,0.0,2025-12
2025-12-19,CEA19-20,61.0,61.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-19,CEA21,62.5,64.0,62.5,63.58,5.25,7780.0,494644.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-19,CEA22,61.0,61.0,61.0,61.0,1.67,124.0,7564.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-19,CEA23,61.0,61.0,61.0,61.0,0.3,1096.0,66856.0,200000.0,13200000.0,200000.0,13200000.0,0.0,0.0,2025-12
2025-12-19,CEA24,62.0,67.1,62.0,65.43,7.26,581441.0,38044890.0,863519.0,49072023.81,863519.0,49072023.81,0.0,0.0,2025-12
2025-12-22,CEA19-20,61.0,61.0,61.0,61.0,0.0,36288.0,2213568.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-22,CEA21,64.0,64.0,64.0,64.0,0.66,2500.0,160000.0,113487.0,6989664.33,113487.0,6989664.33,0.0,0.0,2025-12
2025-12-22,CEA22,61.0,62.0,61.0,61.05,0.08,40000.0,2442000.0,161863.0,9969142.17,161863.0,9969142.17,0.0,0.0,2025-12
2025-12-22,CEA23,64.0,65.65,64.0,64.0,4.92,13755.0,880337.0,166747.0,10505061.0,166747.0,10505061.0,0.0,0.0,2025-12
2025-12-22,CEA24,62.0,70.5,62.0,67.56,3.26,410523.0,27735607.0,1579451.0,93009017.0,1579451.0,93009017.0,0.0,0.0,2025-12
2025-12-23,CEA19-20,60.0,60.0,60.0,60.0,1.64,447.0,26820.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-23,CEA21,70.4,70.4,70.0,70.1,9.53,9418.0,660227.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-23,CEA22,67.16,67.16,67.15,67.15,9.99,2001.0,134367.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-23,CEA23,63.0,70.0,63.0,67.26,5.09,195691.0,13162078.0,100000.0,6300000.0,100000.0,6300000.0,0.0,0.0,2025-12
2025-12-23,CEA24,60.8,74.32,60.8,70.47,4.31,555617.0,39152202.0,2710773.0,,2710773.0,190527975.0,0.0,0.0,2025-12
2025-12-24,CEA19-20,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-24,CEA21,73.0,77.11,73.0,75.08,7.1,15878.0,1192088.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-24,CEA22,65.0,73.85,65.0,65.77,2.06,70718.0,4650804.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-24,CEA23,65.0,73.99,62.5,68.08,1.22,334565.0,22776442.0,100000.0,6963000.0,100000.0,6963000.0,0.0,0.0,2025-12
2025-12-24,CEA24,69.0,77.52,69.9,75.5,7.14,765191.0,57772853.0,2175234.0,,2175234.0,158132890.86,0.0,0.0,2025-12
2025-12-25,CEA19-20,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-25,CEA21,82.59,82.59,82.59,82.59,10.0,12000.0,991080.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-25,CEA22,65.77,65.77,65.77,65.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-25,CEA23,61.27,74.89,61.27,73.27,7.62,61796.0,4527790.0,278208.0,20074560.0,278208.0,20074560.0,0.0,0.0,2025-12
2025-12-25,CEA24,70.0,83.05,70.0,81.28,7.66,1023840.0,83216894.0,1690902.0,,1690902.0,127666837.48,0.0,0.0,2025-12
2025-12-26,CEA19-20,66.0,66.0,66.0,66.0,10.0,2000.0,132000.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-26,CEA21,78.0,78.0,74.33,74.42,9.89,12300.0,915360.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-26,CEA22,70.0,72.35,70.0,70.49,7.18,48000.0,3383500.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-26,CEA23,70.0,80.6,70.0,74.71,1.97,47268.0,3531358.0,394983.0,29453505.0,394983.0,29453505.0,0.0,0.0,2025-12
2025-12-26,CEA24,73.15,88.5,73.15,76.14,6.32,194872.0,14837614.0,2329299.0,,2329299.0,178277015.06,0.0,0.0,2025-12
2025-12-29,CEA19-20,70.0,70.0,70.0,70.0,6.06,2992.0,209440.0,2992.0,209440.0,0.0,0.0,0.0,0.0,2025-12
2025-12-29,CEA21,71.0,71.0,71.0,71.0,4.6,700.0,49700.0,700.0,49700.0,0.0,0.0,0.0,0.0,2025-12
2025-12-29,CEA22,70.0,71.0,70.0,70.58,0.13,24000.0,1694000.0,24000.0,1694000.0,0.0,0.0,0.0,0.0,2025-12
2025-12-29,CEA23,75.0,75.0,70.0,72.02,3.6,167353.0,12052473.0,167353.0,12052472.5,0.0,0.0,0.0,0.0,2025-12
2025-12-29,CEA24,70.0,74.5,70.0,72.02,5.41,1601947.0,113670399.0,619998.0,44651732.4,981949.0,69018666.8,0.0,0.0,2025-12
2025-12-30,CEA19-20,71.3,73.1,71.3,72.43,3.47,129930.0,9567910.0,29930.0,2167910.2,100000.0,7400000.0,0.0,0.0,2025-12
2025-12-30,CEA21,73.0,73.0,73.0,73.0,2.82,10000.0,730000.0,10000.0,730000.0,0.0,0.0,0.0,0.0,2025-12
2025-12-30,CEA22,74.0,74.0,73.0,73.05,3.5,202000.0,14851000.0,102000.0,7451000.0,100000.0,7400000.0,0.0,0.0,2025-12
2025-12-30,CEA23,73.0,73.0,71.7,72.8,1.08,2265000.0,167232000.0,65000.0,4732000.0,2200000.0,162500000.0,0.0,0.0,2025-12
2025-12-30,CEA24,73.0,74.0,73.0,73.08,1.47,1558602.0,114302683.0,858602.0,62742683.03,700000.0,51560000.0,0.0,0.0,2025-12
