month,high,low,close,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,total_vol_t,total_amt_cny,cum_vol_t,cum_amt_cny
2022-12,58.0,53.0,55.0,1102199.0,62158140.58,25150789.0,1397188538.53,26252988.0,1459346679.11,229678843.0,10475234717.27
2023-01,56.0,55.0,56.0,257400.0,14342282.27,0.0,0.0,257400.0,14342282.27,229936243.0,10489576999.54
2023-02,57.5,55.0,55.0,254306.0,14295830.8,1600000.0,89300000.0,1854306.0,103595830.8,231790549.0,10593172830.34
2023-03,57.5,55.0,56.0,31603.0,1774621.0,1276000.0,67180240.0,1307603.0,68954861.0,233098152.0,10662127691.34
2023-04,56.0,50.5,55.0,52657.0,2879064.0,1000000.0,52578000.0,1052657.0,55457064.0,234150809.0,10717584755.34
2023-05,60.0,55.5,58.5,206834.0,11722532.01,1025000.0,57775000.0,1231834.0,69497532.01,235382643.0,10787082287.35
2023-06,60.0,57.0,60.0,1226713.0,70567642.5,1075748.0,53950880.0,2302461.0,124518522.5,237685104.0,10911600809.85
2023-07,65.0,57.0,64.74,847544.0,50532135.0,2161717.0,115090134.66,3009261.0,165622269.66,240694365.0,11077223079.51
2023-08,,,,1459168.0,100741840.76,11938543.0,725013689.01,13397711.0,825755529.77,254092076.0,11902978609.28
2023-09,,,,6678431.0,492529611.7,28896740.0,1846256224.31,35575171.0,2338785836.01,289667247.0,14241764445.29
2023-10,,,,7527526.0,603262565.08,85523795.0,5818483870.31,93051321.0,6421746435.39,382718568.0,20663510880.68
2023-11,,,,9794138.0,710799199.53,30638150.0,2191705246.68,40432288.0,2902504446.21,423150856.0,23566015326.89
2023-12,,,,6660277.0,495918007.57,11811478.0,857217184.82,18471755.0,1353135192.39,441622611.0,24919150519.28
2024-01,,,,436240.0,31749183.2,2580006.0,187274483.36,3016246.0,219023666.56,444638857.0,25138174185.84
2024-02,,,,1165367.0,95193869.54,1240659.0,86267246.5,2406026.0,181461116.04,447044883.0,25319635301.88
2024-03,,,,1465465.0,125398459.3,1727522.0,147386458.0,3192987.0,272784917.3,450237870.0,25592420219.18
2024-04,,,,2272710.0,221280848.4,4252658.0,389382297.68,6525368.0,610663146.08,456763238.0,26203083365.26
2024-05,,,,474190.0,46349719.76,2407304.0,225079140.0,2881494.0,271428859.76,459644732.0,26474512225.02
2024-06,,,,1183902.0,112189055.74,2803181.0,254032995.01,3987083.0,366222050.75,463631815.0,26840734275.77
2024-07,,,,731622.0,65957768.0,2759000.0,251655400.0,3490622.0,317613168.0,467122437.0,27158347443.77
2024-08,,,,1534557.0,142037438.42,4327554.0,363339368.0,5862111.0,505376806.42,472984548.0,27663724250.19
2024-09,,,,2458347.0,241919413.17,5377240.0,515722868.0,7835587.0,757642281.17,480820135.0,28421366531.36
2024-10,,,,4100825.0,420073880.78,9144932.0,875449001.04,13245757.0,1295522881.82,494065892.0,29716889413.18
2024-11,,,,7668426.0,797325461.99,53168815.0,5132950894.55,60837241.0,5930276356.54,554903133.0,35647165769.72
2024-12,,,,13535769.0,1331614067.31,61829762.0,6053947266.48,75365531.0,7385561333.79,630268664.0,43032727103.51
2025-01,,,,241569.0,22668217.14,1750000.0,159660000.0,1991569.0,182328217.14,632260233.0,43215055320.65
2025-02,,,,795568.0,71788177.71,500000.0,45010000.0,1295568.0,116798177.71,633555801.0,43331853498.36
2025-03,,,,957512.0,81601756.22,2218941.0,179313985.0,3176453.0,260915741.22,636732254.0,43592769239.58
2025-04,,,,1862293.0,146839289.9,4043720.0,310023167.5,5906013.0,456862457.4,642638267.0,44049631696.98
2025-05,,,,3540051.0,248717426.33,6830529.0,485497365.9,10370580.0,734214792.23,653008847.0,44783846489.21
2025-06,,,,4188135.0,310066846.31,11696540.0,835016150.0,15884675.0,1145082996.31,668893522.0,45928929485.52
2025-07,,,,5639762.0,417843994.01,5894464.0,427446212.27,11664226.0,855061706.28,680557748.0,46783991191.8
2025-08,,,,5030527.0,357244861.06,10073284.0,684841467.73,15108811.0,1042435228.79,695666559.0,47826426420.59
2025-09,,,,11238793.0,663715993.32,21460114.0,1339812346.42,32700907.0,2003662939.74,728367466.0,49830089360.33
2025-10,,,,10525810.0,487117084.12,30936720.0,1496842246.87,41562530.0,1988434330.99,769929996.0,51818523691.32
2025-11,,,,17632414.0,1045073196.14,30020811.0,1707000895.0,47753225.0,2756968941.14,817683221.0,54575492632.46
2025-12,,,,18406728.0,1191392271.8,28776571.0,1895733327.31,47183299.0,3087125599.11,864866520.0,57662618231.57
2026-01,,,,1209978.0,93915993.8,9725031.0,700814248.0,10935009.0,794730241.8,875801529.0,58457348473.37
2026-02,,,,486797.0,38730040.5,3000000.0,228540000.0,3486797.0,267270040.5,879288326.0,58724618513.87
2026-03,,,,1518628.0,122050215.95,3986187.0,306543527.5,5504815.0,428593743.45,884793141.0,59153212257.32
2026-04,,,,2181442.0,170077857.8,6833004.0,501826141.96,9014446.0,671903999.76,893807587.0,59825116257.08
2026-05,,,,3763333.0,306535727.73,7343711.0,579523183.7,11108044.0,886139341.43,904915631.0,60711255598.51
2026-06,,,,4925462.0,405341950.34,7984000.0,635120400.0,12909462.0,1040462350.34,917825093.0,61751717948.85
2026-07,,,,5842148.0,532074972.91,11418071.0,988564174.82,17260219.0,1520639147.73,935085312.0,63272357096.58
