trade_date,source,price_basis,open,high,low,close,close_vintage,listed_vol_t,listed_amt_cny,listed_vwap,block_vol_t,block_amt_cny,block_vwap,auction_vol_t,auction_amt_cny,total_vol_t,total_amt_cny,total_vwap,cum_vol_t,cum_amt_cny
2021-11-01,seee,listed,42.41,42.54,42.3,42.45,,81792.0,3472375.83,42.4537,1437744.0,59837822.87,41.6192,,,1519536.0,63310198.7,41.6642,21721501.0,971465231.3
2021-11-02,seee,listed,42.45,42.45,42.4,42.43,,78500.0,3330975.0,42.4328,320000.0,13120000.0,41.0,,,398500.0,16450975.0,41.2822,22120001.0,987916206.3
2021-11-03,seee,listed,42.43,42.43,42.39,42.4,,7735.0,327962.05,42.3997,0.0,0.0,,,,7735.0,327962.05,42.3997,22127736.0,988244168.35
2021-11-04,seee,listed,42.4,42.4,42.0,42.33,,13400.0,567282.0,42.3345,0.0,0.0,,,,13400.0,567282.0,42.3345,22141136.0,988811450.35
2021-11-05,seee,listed,43.0,43.0,42.2,42.69,,33010.0,1409087.05,42.6867,0.0,0.0,,,,33010.0,1409087.05,42.6867,22174146.0,990220537.4
2021-11-08,seee,listed,42.69,42.8,42.5,42.58,,28499.0,1213568.5,42.5828,0.0,0.0,,,,28499.0,1213568.5,42.5828,22202645.0,991434105.9
2021-11-09,seee,listed,42.58,43.0,42.5,42.73,,28534.0,1219152.0,42.7263,0.0,0.0,,,,28534.0,1219152.0,42.7263,22231179.0,992653257.9
2021-11-10,seee,listed,42.73,42.8,42.7,42.74,,30719.0,1312819.82,42.7364,1178517.0,50195031.41,42.5917,,,1209236.0,51507851.23,42.5954,23440415.0,1044161109.13
2021-11-11,seee,listed,42.5,42.74,42.4,42.49,,23884.0,1014944.28,42.4947,0.0,0.0,,,,23884.0,1014944.28,42.4947,23464299.0,1045176053.41
2021-11-12,seee,listed,42.6,42.82,42.5,42.66,,19859.0,847261.3,42.6638,1430000.0,59825000.0,41.8357,,,1449859.0,60672261.3,41.847,24914158.0,1105848314.71
2021-11-15,seee,listed,42.66,43.2,42.66,42.93,,26470.0,1136240.0,42.9256,300000.0,12300000.0,41.0,,,326470.0,13436240.0,41.1561,25240628.0,1119284554.71
2021-11-16,seee,listed,42.93,43.4,42.93,43.16,,139500.0,6020495.0,43.1577,1650000.0,68095000.0,41.2697,,,1789500.0,74115495.0,41.4169,27030128.0,1193400049.71
2021-11-17,seee,listed,46.0,46.0,42.95,43.12,,86406.0,3726164.92,43.1239,300000.0,12510000.0,41.7,,,386406.0,16236164.92,42.0184,27416534.0,1209636214.63
2021-11-18,seee,listed,43.12,43.5,42.95,43.16,,48608.0,2098160.8,43.1649,1311838.0,42576470.84,32.4556,,,1360446.0,44674631.64,32.8382,28776980.0,1254310846.27
2021-11-19,seee,listed,43.5,43.5,43.0,43.05,,72949.0,3140096.9,43.0451,1246829.0,37666704.09,30.21,,,1319778.0,40806800.99,30.9194,30096758.0,1295117647.26
2021-11-22,seee,listed,43.1,43.1,42.85,43.05,,197816.0,8515376.35,43.047,0.0,0.0,,,,197816.0,8515376.35,43.047,30294574.0,1303633023.61
2021-11-23,seee,listed,43.5,43.5,42.98,43.06,,178974.0,7706348.8,43.0585,0.0,0.0,,,,178974.0,7706348.8,43.0585,30473548.0,1311339372.41
2021-11-24,seee,listed,43.0,43.0,42.88,42.96,,307593.0,13215287.26,42.9636,1593635.0,66437578.0,41.6893,,,1901228.0,79652865.26,41.8955,32374776.0,1390992237.67
2021-11-25,seee,listed,42.96,43.0,42.9,42.96,,267994.0,11513631.35,42.9623,480000.0,20076000.0,41.825,,,747994.0,31589631.35,42.2325,33122770.0,1422581869.02
