week_start,week_end,high,low,close,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,total_vol_t,total_amt_cny,cum_vol_t,cum_amt_cny
2022-09-19,2022-09-23,58.0,57.0,57.48,610.0,35270.0,0.0,0.0,610.0,35270.0,195156737.0,8559308739.58
2022-09-26,2022-09-30,57.5,57.5,57.5,1000.0,57500.0,0.0,0.0,1000.0,57500.0,195157737.0,8559366239.58
2022-10-10,2022-10-14,58.45,57.5,58.0,12100.0,705370.0,180000.0,10440000.0,192100.0,11145370.0,195349837.0,8570511609.58
2022-10-17,2022-10-21,58.5,57.5,58.49,245960.0,14377261.0,0.0,0.0,245960.0,14377261.0,195595797.0,8584888870.58
2022-10-24,2022-10-28,58.7,58.0,58.0,47000.0,2747000.0,238274.0,13906618.0,285274.0,16653618.0,195881071.0,8601542488.58
2022-10-31,2022-11-04,58.0,58.0,58.0,28242.0,1638036.0,1281209.0,62274480.38,1309451.0,63912516.38,197190522.0,8665455004.96
2022-11-07,2022-11-11,58.2,57.7,58.0,142123.0,8244134.2,0.0,0.0,142123.0,8244134.2,197332645.0,8673699139.16
2022-11-14,2022-11-18,58.0,57.3,57.5,546622.0,31473445.6,1170757.0,67283149.0,1717379.0,98756594.6,199050024.0,8772455733.76
2022-11-21,2022-11-25,58.1,57.5,57.8,1570874.0,90799700.4,1890000.0,101694000.0,3460874.0,192493700.4,202510898.0,8964949434.16
2022-11-28,2022-12-02,58.0,55.0,57.69,552406.0,31812083.3,763566.0,42417035.4,1315972.0,74229118.7,203826870.0,9039178552.86
2022-12-05,2022-12-09,58.0,53.0,57.03,124110.0,7089630.0,200000.0,11700000.0,324110.0,18789630.0,204150980.0,9057968182.86
2022-12-12,2022-12-16,57.0,54.0,57.0,290918.0,16324256.28,2258481.0,128075815.31,2549399.0,144400071.59,206700379.0,9202368254.45
2022-12-19,2022-12-23,57.5,55.0,56.5,113408.0,6340904.5,18018021.0,1000385160.44,18131429.0,1006726064.94,224831808.0,10209094319.39
2022-12-26,2022-12-30,56.5,55.0,55.0,372738.0,20804250.5,4474297.0,245336147.38,4847035.0,266140397.88,229678843.0,10475234717.27
