cell_id,lat,lon,land_frac,in_province,dist_to_province,offshore_zone,retain,w_uniform,w_province,w_wind,w_solar,cap_source
90,38.0,120.75,0.0,0.0507,0.0,1,1,1.0,0.0507,0.0507,0.0507,fallback:w_province
91,38.0,121.0,0.0,0.0033,0.0,1,1,1.0,0.0033,0.0033,0.0033,fallback:w_province
92,38.0,121.25,0.0,0.0,0.1519,1,1,1.0,0.0,0.0,0.0,fallback:w_province
93,38.0,121.5,0.0,0.0,0.2411,1,1,1.0,0.0,0.0,0.0,fallback:w_province
94,38.0,121.75,0.0,0.0,0.3271,1,1,1.0,0.0,0.0,0.0,fallback:w_province
95,38.0,122.0,0.0,0.0,0.3063,1,1,1.0,0.0,0.0,0.0,fallback:w_province
96,38.0,122.25,0.0,0.0,0.3077,1,1,1.0,0.0,0.0,0.0,fallback:w_province
97,38.0,122.5,0.0,0.0,0.3892,1,1,1.0,0.0,0.0,0.0,fallback:w_province
98,38.0,122.75,0.0,0.0,0.4432,1,1,1.0,0.0,0.0,0.0,fallback:w_province
99,37.75,114.75,1.0,0.0,1.0556,0,0,0.0,0.0,0.0,0.0,fallback:w_province
100,37.75,115.0,1.0,0.0,0.8893,0,0,0.0,0.0,0.0,0.0,fallback:w_province
101,37.75,115.25,1.0,0.0,0.6661,0,0,0.0,0.0,0.0,0.0,fallback:w_province
102,37.75,115.5,1.0,0.0,0.4536,0,0,0.0,0.0,0.0,0.0,fallback:w_province
103,37.75,115.75,1.0,0.0,0.3015,0,0,0.0,0.0,0.0,0.0,fallback:w_province
104,37.75,116.0,1.0,0.0,0.1761,0,0,0.0,0.0,0.0,0.0,fallback:w_province
105,37.75,116.25,1.0,0.0,0.0438,0,0,0.0,0.0,0.0,0.0,fallback:w_province
106,37.75,116.5,1.0,0.0036,0.0,0,0,0.0,0.0,0.0,0.0,fallback:w_province
107,37.75,116.75,1.0,0.5989,0.0,0,1,1.0,0.5989,0.5989,0.5989,fallback:w_province
108,37.75,117.0,1.0,0.8691,0.0,0,1,1.0,0.8691,0.8691,0.8691,fallback:w_province
109,37.75,117.25,1.0,0.8906,0.0,0,1,1.0,0.8906,0.8906,0.8906,fallback:w_province
110,37.75,117.5,1.0,0.9708,0.0,0,1,1.0,0.9708,0.9708,0.9708,fallback:w_province
111,37.75,117.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
