id,latitude,longitude,count,capacity_mw,iso3,landscape_area_km2
7722,38.185771,117.064369,1,,CHN,2.01061929829747
7723,35.053705,117.445727,1,,CHN,2.01061929829747
7724,35.071342,117.515962,1,,CHN,2.01061929829747
7725,38.081465,117.414569,1,,CHN,2.01061929829747
7726,38.081051,117.432175,1,,CHN,2.01061929829747
7727,38.063838,117.440157,1,,CHN,2.01061929829747
7729,37.195672,118.910765,1,,CHN,2.01061929829747
7732,36.551908,118.045258,1,,CHN,2.01061929829747
7733,36.552851,118.002633,1,,CHN,2.01061929829747
7742,36.203963,116.440307,1,,CHN,2.01061929829747
7743,36.221988,116.453347,1,,CHN,2.01061929829747
7744,36.135243,116.356187,1,,CHN,2.01061929829747
7764,34.30591,117.275963,1,,CHN,2.01061929829747
7795,37.570019,117.342721,1,,CHN,2.01061929829747
7796,37.571591,117.449808,1,,CHN,2.01061929829747
7797,37.89444,117.468734,1,,CHN,2.01061929829747
7798,37.825001,117.483202,1,,CHN,2.01061929829747
7799,37.818696,117.50054,1,,CHN,2.01061929829747
7800,37.822645,117.519422,1,,CHN,2.01061929829747
7801,37.866345,117.488094,1,,CHN,2.01061929829747
7802,37.863189,117.522144,1,,CHN,2.01061929829747
7803,37.796299,117.503061,1,,CHN,2.01061929829747
7804,37.786312,117.497718,1,,CHN,2.01061929829747
7950,36.165692,116.384469,1,,CHN,2.01061929829747
7951,37.036867,115.853803,1,,CHN,2.01061929829747
7952,37.01105,115.892298,1,,CHN,2.01061929829747
7953,37.039624,115.886011,1,,CHN,2.01061929829747
7954,37.044934,115.902233,1,,CHN,2.01061929829747
7955,35.165656,117.503946,1,,CHN,2.01061929829747
7957,36.196895,116.380443,1,,CHN,2.01061929829747
7958,36.190487,116.380422,1,,CHN,2.01061929829747
7959,36.199478,116.358655,1,,CHN,2.01061929829747
7965,37.05107,115.997669,1,,CHN,2.01061929829747
7966,37.043346,116.002518,1,,CHN,2.01061929829747
7967,37.037129,115.957886,1,,CHN,2.01061929829747
7968,37.029181,115.949754,1,,CHN,2.01061929829747
7969,37.06792,115.996424,1,,CHN,2.01061929829747
7970,37.074237,115.979473,1,,CHN,2.01061929829747
7971,37.084269,115.967435,1,,CHN,2.01061929829747
7972,37.093101,115.962242,1,,CHN,2.01061929829747
7973,37.098075,115.985407,1,,CHN,2.01061929829747
7974,37.102679,115.980042,1,,CHN,2.01061929829747
8083,37.896053,120.757572,1,,CHN,2.01061929829747
8097,37.384312,120.265062,1,,CHN,2.01061929829747
8098,37.378071,120.268409,1,,CHN,2.01061929829747
8099,37.064217,120.229292,1,,CHN,2.01061929829747
8100,37.066511,120.239527,1,,CHN,2.01061929829747
8101,37.058738,120.23457,1,,CHN,2.01061929829747
8102,37.242288,122.314264,1,,CHN,2.01061929829747
8103,37.236958,122.317654,1,,CHN,2.01061929829747
8112,36.983505,122.09518,1,,CHN,2.01061929829747
8113,37.271359,122.346152,1,,CHN,2.01061929829747
8114,37.356425,122.520929,1,,CHN,2.01061929829747
8115,37.364266,122.514107,1,,CHN,2.01061929829747
8232,37.11983,122.024755,1,,CHN,2.01061929829747
8233,37.300759,122.013335,1,,CHN,2.01061929829747
8234,37.265172,122.009204,1,,CHN,2.01061929829747
8235,37.287301,121.968756,1,,CHN,2.01061929829747
8313,36.997034,122.331513,1,,CHN,2.01061929829747
8314,36.985514,122.347423,1,,CHN,2.01061929829747
8333,36.958492,121.181311,1,,CHN,2.01061929829747
25454,37.476072,118.924377,9,16.1704227137489,CHN,6.92675025306547
25488,38.496004,117.631703,2,,NA,2.79304886922169
25603,38.057248,118.100347,14,27.3504291505538,CHN,12.4841448118663
25604,38.125621,118.120895,37,74.0324369112894,CHN,59.7728579754744
25605,38.130547,118.120884,4,,CHN,5.80267235417223
25606,38.114917,118.116558,5,5.5173565159494,CHN,6.17362607415295
25607,38.038364,118.583082,163,192.543028956617,CHN,198.356638310707
25608,38.078763,118.268992,89,140.517907541122,CHN,87.4449689024069
25609,38.121722,118.240715,7,10.2430553627248,CHN,7.6824474898119
25610,38.060023,118.336442,12,19.7436485108293,CHN,17.5219742826372
25611,38.096657,118.33915,2,,CHN,3.13195090353394
25612,38.13128,118.181139,4,,CHN,3.55335060749388
25613,37.24296,118.97695,15,29.1855675406493,CHN,15.9146570139251
