latitude,longitude,capacity_mw,capacity_std_mw,hub_height_m,class,first_operating_quarter,water_depth_m,nation
34.427799,120.182143,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2021Q1,-12.0,China
34.53874,120.340606,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-14.0,China
34.453221,120.363334,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-13.0,China
34.410371,120.159865,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2016Q4,-12.0,China
34.418636,120.171184,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2020Q3,-12.0,China
34.403275,120.171543,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2020Q2,-12.0,China
34.414683,120.165525,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2016Q4,-12.0,China
34.407586,120.177113,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2018Q2,-12.0,China
34.412168,120.207027,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2016Q4,-11.0,China
34.407676,120.201727,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2019Q2,-12.0,China
34.403813,120.220142,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2016Q4,-11.0,China
34.41612,120.188432,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2020Q2,-12.0,China
34.403095,120.196067,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2018Q2,-12.0,China
34.411629,120.182772,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2016Q4,-12.0,China
34.420702,120.193732,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2017Q2,-11.0,China
34.524637,120.3866,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-15.0,China
34.468941,120.314196,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-12.0,China
34.468672,120.346625,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.468672,120.35471,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.468852,120.330365,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.468852,120.33845,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.468582,120.394146,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-14.0,China
34.468582,120.379054,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-14.0,China
34.468672,120.370879,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.468672,120.362795,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.423217,120.176843,4.063347024933467,0.19301569741761176,89.01115659371129,owt,Y2020Q2,-12.0,China
34.49104,120.337911,,,,sub,,,China
34.468762,120.322281,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-12.0,China
34.306077,120.550722,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q3,-14.0,China
34.318923,120.654388,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-15.0,China
34.318923,120.648549,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q2,-15.0,China
34.318833,120.660317,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.306885,120.634984,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-14.0,China
34.306795,120.642171,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-15.0,China
34.307065,120.627977,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-14.0,China
34.306885,120.650345,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q3,-15.0,China
34.318923,120.64262,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.318833,120.666156,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q3,-15.0,China
34.306885,120.659239,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-15.0,China
34.319102,120.636781,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.319102,120.630852,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-15.0,China
34.306526,120.698046,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.318653,120.678013,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-15.0,China
