unique_id,latitude,longitude,capacity_mw,install_date,iso_3166_2,area_m2
5408,37.043127,116.354379,3.642075461650242,<2016-06,CN-37,42142.86599668873
5409,34.935753,117.551936,0.20452931713213,2016-08-28,CN-37,2204.190029205233
5410,35.992201,116.662375,1.6801203344326445,2016-06-09,CN-37,19571.552954914892
5411,35.401797,118.707007,1.5009252386435459,2017-11-23,CN-37,17438.09721896467
5412,36.381856,117.681381,0.06015823453153646,<2016-06,CN-37,564.6415427674984
5413,35.888507,118.962156,16.63038126215543,2016-10-14,CN-37,217332.90238116754
5414,36.24375,118.821588,4.113838358413833,<2016-06,CN-37,47909.79053439062
5415,36.232005,119.02981,3.470137441656406,<2016-06,CN-37,40505.05586306585
5416,36.155835,119.015577,1.6233192960908511,2017-06-21,CN-37,18955.500632709038
5417,35.625572,118.428951,0.4856942791648917,2016-10-04,CN-37,5228.2705556127485
5418,35.933033,115.394677,9.463945556716313,2016-11-26,CN-37,122739.54294085734
5419,35.997146,116.664534,0.27554905165883614,2016-06-09,CN-37,2967.565582702341
5420,35.89375,118.965258,6.451359134858947,2016-10-14,CN-37,75014.91649502203
5421,36.155386,116.895094,2.0916764149247773,2016-08-28,CN-37,24323.151514189194
5422,35.998545,116.658211,0.2312639470632792,2016-06-09,CN-37,2484.693049303617
5423,35.772938,116.336118,18.998900372292336,2018-06-14,CN-37,246747.828760923
5424,35.98041,116.452899,2.069837038706533,2017-12-31,CN-37,23956.012798182688
5425,37.4368,116.5067,8.103648035214139,<2016-06,CN-37,93782.75221191384
5427,36.207465,116.616772,5.5243269844063825,2016-08-28,CN-37,63955.620390838405
5428,37.963549,117.952632,60.6194547792019,2017-06-14,CN-37,790513.5192377489
5429,36.982039,121.336535,18.593259225744692,<2016-06,CN-37,243916.8672842412
5430,36.222863,119.018109,3.5421906621754924,<2016-06,CN-37,41403.55363550772
5431,36.202152,116.609895,8.471293346177596,2017-06-14,CN-37,98072.90969504176
5432,35.994974,116.661702,5.665045050868027,2016-06-09,CN-37,65991.54056574333
5433,36.251145,119.030988,0.741803157248768,2017-08-10,CN-37,7985.593696050555
5434,34.939752,117.555716,27.413818963546266,2016-08-28,CN-37,358874.3812936523
5435,34.612358,115.696189,14.180989230271855,2017-05-25,CN-37,183843.1014463407
5436,35.360215,116.634687,0.1763787909642275,2016-08-28,CN-37,1887.4428226573366
5437,34.912606,117.03684,0.5253246062187092,2017-12-06,CN-37,5620.977496971655
5438,36.553661,117.913958,20.481717853792333,<2016-06,CN-37,267652.6181306519
5439,34.610534,115.687779,8.121400320090432,2017-03-06,CN-37,93758.86081856447
5440,37.883798,117.805048,2.484258569198297,2017-09-02,CN-37,28787.877403097256
5441,38.010698,117.900653,0.38341156431459633,2016-10-17,CN-37,4113.280569784109
5444,35.707996,117.432496,1.2142373086344518,2016-08-28,CN-37,14075.864712816661
5445,35.905887,118.165083,9.849591487450297,2017-06-14,CN-37,129021.40722886889
5446,37.255282,117.824003,2.4549546061951575,<2016-06,CN-37,28390.49218939709
5447,35.795236,118.518643,2.6717898293675795,2017-05-22,CN-37,31092.111553390514
5448,35.927594,118.114667,10.446877654520303,2017-09-14,CN-37,137634.6742527954
5449,36.374953,117.673579,0.5643155106161504,<2016-06,CN-37,6088.088979542196
5450,36.382059,118.865141,5.423849650487153,2017-06-21,CN-37,63025.25409772306
5451,36.719341,118.986713,1.887728949601527,2017-06-21,CN-37,21864.98812692865
5452,35.626397,118.430329,1.2604438438444932,2016-10-04,CN-37,14675.80934742476
5453,36.567064,118.935005,8.266000992243415,2017-06-21,CN-37,95962.51341102416
5454,35.776035,116.33417,8.396390591590114,2018-06-14,CN-37,97118.48201711105
5455,36.74314,119.156701,0.8790924163699454,2016-10-04,CN-37,9413.706398653334
5456,37.93073,117.973126,22.632444026982416,2016-11-16,CN-37,294666.7217233149
5457,36.935982,116.690817,1.526058431381833,2016-11-26,CN-37,17652.712646888
5458,34.804851,117.747938,8.206806382417405,2017-06-01,CN-37,107005.5991087006
5459,36.26674,118.776685,13.389542057337689,<2016-06,CN-37,175444.60482971664
5460,35.858078,118.332459,6.9420658038168765,2017-04-22,CN-37,81110.47855816178
5461,36.211734,116.621197,3.4025318113486334,2016-08-28,CN-37,39395.35723729811
5462,36.193864,119.049997,2.0639475752002356,2017-10-24,CN-37,24023.567203224313
5463,35.877066,118.961323,2.451880129542675,2016-10-14,CN-37,28552.371659426513
5464,36.616063,118.071664,8.95652792046389,<2016-06,CN-37,117309.7556708987
5465,36.615916,118.063403,8.508703047817592,<2016-06,CN-37,111560.9228863938
5466,36.565297,118.931978,0.31197688370167004,2017-06-21,CN-37,3348.299998460214
5467,37.815036,117.911922,0.058469741538955185,2017-02-24,CN-37,545.4593098755829
5468,36.199297,116.611517,0.888996897972519,2017-06-14,CN-37,10292.510561580591
5469,36.208162,116.614604,0.048321508744352294,2016-08-28,CN-37,450.59765614984315
5470,36.16764,119.050195,2.325114563144102,2017-10-24,CN-37,27056.720440581368
5471,35.743108,119.055684,7.461169307301986,"2016-06-16,<2016-06",CN-37,86963.84632724358
5472,36.260301,118.768666,28.094013153939546,<2016-06,CN-37,367836.9232218238
5473,37.599688,116.776409,2.691714611420664,2017-09-07,CN-37,31159.444541784917
5474,36.246448,118.824219,0.0952502110667662,<2016-06,CN-37,893.3325893943843
5475,37.963187,118.300516,27.967352514837895,<2016-06,CN-37,364769.9580377768
5476,37.054631,119.061927,0.4806768619062128,2017-12-08,CN-37,5167.404736512691
5477,36.380322,117.674789,4.724105149610227,<2016-06,CN-37,55115.57310011199
5478,37.202541,116.451016,15.453912990182815,<2016-06,CN-37,200732.77583413981
5479,35.312637,115.77282,2.2888706543167,2017-08-08,CN-37,26444.31746576324
5480,36.766535,119.058383,2.190947487951901,2017-03-03,CN-37,25365.18525544198
5481,35.895121,118.124125,0.1555380522049726,2017-09-14,CN-37,1685.4837057819266
5482,36.630113,118.489094,2.129712164690566,2017-09-17,CN-37,24739.398812004132
5484,35.361789,116.637665,0.0944454708038846,2016-08-28,CN-37,1010.6681479489168
5485,37.807951,117.91121,0.17421024112500452,2017-02-24,CN-37,1865.239321842335
5486,36.576578,118.906996,7.0935146805302125,2017-07-11,CN-37,82398.2917375141
5487,35.273329,117.782671,6.7231479879168665,2017-06-14,CN-37,78366.67456664088
5488,36.271954,118.775878,0.44847494986976044,<2016-06,CN-37,4837.634275321276
5489,37.07721,119.128247,4.668404904224571,2017-05-22,CN-37,54383.78765865813
5490,37.189274,121.130438,0.45004810443643495,2016-09-11,CN-37,4854.898968810918
5492,36.291854,116.80072,23.76880022157582,<2016-06,CN-37,309614.77689633076
5493,36.224912,119.010697,1.1648160010838953,<2016-06,CN-37,13614.470320392633
5494,36.385954,118.684797,4.2590385855308375,<2016-06,CN-37,49677.966419741766
5495,36.384781,118.67984,16.59266868316735,<2016-06,CN-37,217546.91633572706
5496,37.803979,117.910436,0.2887603524778011,2017-02-24,CN-37,3091.707815524862
5497,36.232387,118.908326,0.9386912450737372,2017-10-24,CN-37,10946.631236817766
5499,35.900581,118.120623,0.042135590596949844,2017-09-14,CN-37,396.40863745723294
5501,35.248727,117.610324,2.79143184706748,<2016-06,CN-37,32560.747888297283
5502,34.605608,115.649467,7.441444113722569,2016-08-28,CN-37,85892.44199016104
5504,35.409232,118.708076,0.14637657681056918,2017-11-23,CN-37,1572.1418842184592
5505,34.603382,115.496675,0.5864421825432975,<2016-06,CN-37,6259.941780244728
5506,35.893842,118.122028,2.135893020660372,2017-09-14,CN-37,25035.19008644508
5507,35.271696,115.997865,0.19345914340417456,2017-09-17,CN-37,2065.9938068807874
5508,36.878074,118.065048,1.5935106313155891,2017-10-24,CN-37,18423.406143639815
5509,36.17597,119.020176,3.7816128846433914,2017-06-21,CN-37,44186.870257457835
5511,37.806365,117.909291,0.2284040817445955,2017-02-24,CN-37,2445.483524895727
5512,37.599809,116.779181,4.346896915823096,2017-09-07,CN-37,50319.93094764156
5513,36.064108,117.539074,3.3237961573674544,2016-06-09,CN-37,38636.55289704057
5514,36.379855,118.683649,0.9082409416210485,<2016-06,CN-37,10599.99781498405
5515,35.401872,116.871673,4.805507626061383,2016-08-28,CN-37,55618.266716674145
5516,36.768894,117.961765,4.763455009542793,2017-09-07,CN-37,55117.39762742137
5518,35.748589,119.06608,6.614228483595596,"2016-06-16,<2016-06",CN-37,77059.87298875897
5519,35.404486,118.710283,28.257232119233983,2017-11-23,CN-37,368881.38547861116
5520,36.415248,118.428504,17.511957713207977,2016-11-26,CN-37,228901.71200684021
5521,36.429118,115.331812,5.045554908472456,<2016-06,CN-37,58254.523325378046
5522,35.539892,117.554566,2.7268872977131253,2017-06-14,CN-37,31731.151320422374
5523,35.902401,115.964674,0.3455017522294152,2017-03-06,CN-37,3692.034064336414
5524,36.594697,118.867353,2.0488173345165843,2017-07-11,CN-37,23814.573740146487
5526,36.477822,115.669464,0.1699653249404485,<2016-06,CN-37,1814.867270533786
5527,37.488626,120.592873,2.0254954990866776,2017-09-16,CN-37,23585.969953790092
5528,35.251554,117.618136,6.839339359590221,<2016-06,CN-37,79934.59997616349
5529,35.351842,118.322218,1.8433466931210465,2016-10-04,CN-37,21424.39027369163
5530,35.314824,116.326894,8.886680833512417,2016-06-09,CN-37,115578.2744262638
5531,36.238846,119.041121,15.649294583181765,<2016-06,CN-37,204980.39839634325
5533,35.773497,116.328272,0.06657511807633228,2018-06-14,CN-37,620.1423346051783
5534,35.582202,115.971163,4.090204628195293,2017-08-08,CN-37,47278.58487165661
5536,35.50852,118.659292,2.104535861856719,2017-10-24,CN-37,24457.531331016267
5537,37.187865,121.132008,2.139318593374158,2016-09-11,CN-37,24962.048333210467
5538,35.929219,115.392045,6.299692242676985,2016-11-26,CN-37,72750.44346445825
5539,37.544375,121.255974,1.2166021098877,<2016-06,CN-37,14205.733122742202
5540,36.006244,114.885392,0.1789132585914127,"2016-06-22,<2016-06",CN-41,1907.150415572573
5541,37.889514,117.978617,20.80060514326852,2016-11-16,CN-37,270749.0963252987
5542,36.26506,118.773725,0.3258039654908461,<2016-06,CN-37,3511.708466251019
5543,35.900171,118.116148,0.43937674766161694,2017-09-14,CN-37,4757.323961221091
5544,37.233793,118.893947,54.8794931952811,2016-12-23,CN-37,717571.9317374872
5545,35.998575,116.453309,4.661311376885759,2016-08-28,CN-37,53971.85647338914
5546,35.965223,119.352724,15.093771914794706,2017-10-24,CN-37,196834.6440166894
5550,35.248527,117.596686,7.795122846547136,2017-09-14,CN-37,102252.25973450822
5551,36.979976,121.340965,0.4411068941224894,<2016-06,CN-37,4763.769106315826
5552,36.012904,114.89529,114.73941722950067,"2016-06-22,<2016-06",CN-41,1505166.3906944024
5554,35.551766,117.504852,0.9344980763471731,2017-07-04,CN-37,10896.596145277534
5555,36.024085,117.845443,6.929630641780509,2017-03-26,CN-37,80838.99650127847
5556,36.012201,114.903466,0.19816196249647863,"2016-06-22,<2016-06",CN-41,2112.6729637029102
5558,36.806036,116.800889,14.116991679844915,2017-09-07,CN-37,183313.88775152163
5559,35.972299,115.471214,13.705709279537949,<2016-06,CN-37,177769.2531306222
5560,35.918018,118.140335,1.2259104711513247,2018-07-14,CN-37,14385.976601154955
5561,37.439379,118.725558,1.154055314895432,<2016-06,CN-37,13394.608866191582
5564,37.229005,118.897776,1.976138834193218,2016-12-23,CN-37,23001.437553573134
5565,36.850629,121.577064,9.611401883944044,2017-06-18,CN-37,126578.66368674814
5566,37.256599,118.891947,4.981942006271904,2017-05-12,CN-37,58018.7321087095
5567,37.963802,118.293726,0.09906355203359085,<2016-06,CN-37,926.5221962188238
5568,36.347886,120.33428,1.9245828552791087,<2016-06,CN-37,22429.296236518647
5571,34.794516,117.746883,16.554528935274867,2017-07-24,CN-37,215712.220936167
5572,36.012272,114.904647,0.3377049713288308,"2016-06-22,<2016-06",CN-41,3600.3890638051475
5573,36.578656,115.666421,19.59537058201024,2016-06-22,CN-37,254297.05359349068
5574,37.038358,116.357894,2.2536518061883752,<2016-06,CN-37,26075.955560655555
5575,36.595981,118.867374,1.8326504509308283,2017-07-11,CN-37,21301.942622377625
5580,36.434951,115.336474,22.828832145842583,<2016-06,CN-37,295951.49870307284
5583,36.862808,118.070347,0.8013996494719052,2017-05-02,CN-37,8569.126413878414
5589,36.573566,115.673764,6.816116069391452,2016-06-22,CN-37,78737.57310234266
5590,36.946187,116.41243,16.591117562414897,<2016-06,CN-37,215488.91639426412
5593,36.915233,117.709817,11.139017184962885,<2016-06,CN-37,144693.1767983713
5594,35.519609,115.842401,1.4066415616596208,2017-06-14,CN-37,16252.160276218268
5595,36.574944,117.852997,2.8131477915352683,2016-07-29,CN-37,32653.237672795745
5596,35.101147,114.962249,2.262150366908419,2016-08-21,CN-37,26114.715812186187
5597,36.927426,116.649281,1.7854871405512467,2017-12-06,CN-37,20662.77090790836
5601,36.144641,116.881766,0.30235573456038944,2016-08-28,CN-37,3253.3145471262305
5602,36.019814,114.904818,13.894816322674778,"2016-06-22,<2016-06",CN-41,179927.6474359198
5603,35.282956,118.410832,10.044257329527293,2017-02-01,CN-37,130983.24848350584
5605,35.121753,117.890387,3.6334613157999796,2017-09-17,CN-37,42501.85116699208
5607,36.543124,120.119528,4.459704678364224,2017-02-01,CN-37,51744.551519516994
5608,35.851605,115.733461,0.48672112725258054,2017-10-30,CN-41,5200.921444184782
5609,36.16058,117.528106,16.998984687869598,2018-06-14,CN-37,222091.78280041894
5610,34.9598,115.811417,7.824916304445254,2017-03-26,CN-37,90352.97639214912
5611,37.152845,119.127637,9.83445235064271,<2016-06,CN-37,129153.54767135328
5614,35.20664,117.90452,4.648718154779364,2017-07-11,CN-37,54154.53584203044
5615,37.379426,116.540747,5.04548907119986,<2016-06,CN-37,58385.830744766165
5616,35.95945,117.620075,11.984522961112843,2017-12-31,CN-37,156369.99216267685
5620,35.331537,117.780487,2.1245713405016313,2017-04-22,CN-37,24739.9179780232
5621,36.141994,115.156173,4.553771008978158,2016-12-06,CN-41,52544.78089458572
5624,35.815746,117.329259,2.438189349257112,2016-09-17,CN-37,28310.1263568919
5628,34.993026,118.245312,9.899013463547936,2017-12-18,CN-37,129093.77817454784
5629,36.142153,116.881025,1.6885211757806098,2016-08-28,CN-37,19651.5970693396
5631,36.431941,115.329703,2.875253380876812,<2016-06,CN-37,33196.84716172675
5633,35.273095,117.788387,5.233291783354642,2017-06-14,CN-37,60985.84701453723
5635,35.724221,115.825784,57.829275235585236,2016-12-06,CN-37,750593.1014233207
5636,36.093288,115.712572,10.990891818896886,2016-11-26,CN-37,142563.3834138888
5638,37.239117,118.918548,4.89578896790945,2017-07-11,CN-37,57045.965816212905
5640,36.957457,118.011975,4.910146855774857,2016-06-16,CN-37,56758.11421384644
5642,37.026156,119.068391,21.528438475025226,2017-06-21,CN-37,280912.8519305687
5643,35.065558,117.713916,5.696894136427222,2017-09-17,CN-37,66295.81893355981
5644,34.712115,117.120584,50.747091743506,<2016-06,CN-37,658761.4359500043
5649,35.967446,117.621938,9.053823420038007,2018-04-20,CN-37,118144.19967730984
5651,37.111817,119.100189,85.63881742286348,2017-08-05,CN-37,1136327.3280478497
5652,37.175743,119.121572,25.90127017901563,<2016-06,CN-37,340765.21204037394
5653,35.902841,115.962269,3.7096575744560787,2017-03-06,CN-37,42877.82649792379
5656,35.085958,117.664162,9.81295414791409,<2016-06,CN-37,128442.50409776303
5658,37.395244,121.653774,5.6136933,2017-11-10,CN-37,65683.8389768189
5663,36.007452,114.901236,0.4475209699247592,"2016-06-22,<2016-06",CN-41,4770.279462706635
5669,36.021332,114.899627,1.9481276762264326,"2016-06-22,<2016-06",CN-41,22467.15789732178
5720,37.251911,117.598206,16.642447512747136,2016-12-16,CN-37,216211.58101745832
5744,35.948974,115.752078,0.6015949201047807,2017-06-27,CN-41,6426.832652542572
5772,34.95193,114.8429,1.214760745400349,<2016-06,CN-41,14020.822883201316
5789,35.946724,115.74815,0.1678082701878331,2017-06-27,CN-41,1792.2664950427268
5798,34.667549,115.113076,1.5519596885306,2017-12-11,CN-41,17906.05525756637
5805,35.95599,115.756584,3.0480881145320957,2017-06-27,CN-41,35224.85101372517
5809,35.94553,115.748289,0.5015817369221032,2017-06-27,CN-41,5357.114644019496
5833,36.101837,115.108234,0.47655891274990625,2016-10-30,CN-41,5082.761365301166
5841,35.941433,115.751176,0.19139366817418008,2017-06-27,CN-41,2044.9313692413912
5842,34.414845,115.581255,5.293781485051617,2017-09-17,CN-41,61099.8432687884
5844,36.099967,115.111739,17.575717256625943,2016-10-30,CN-41,227718.6499969651
5858,34.952306,114.840872,0.264108906659339,<2016-06,CN-41,2818.268112939033
5862,35.466875,114.995001,0.8822576253800626,2017-12-06,CN-41,9407.900833030752
5863,35.953075,115.751608,0.1327321074312142,2017-06-27,CN-41,1418.1237912503652
5868,35.807357,114.75975,31.680702407826033,<2016-06,CN-41,410264.54486397724
5870,35.946621,115.740798,53.3221017868123,2017-06-27,CN-41,691957.6927482119
5881,35.966674,115.786933,57.77040051158263,2018-05-23,CN-41,749761.2359003879
5901,35.464129,115.043668,1.0739871557298686,2017-12-04,CN-41,12394.083918039214
5908,34.683358,115.003512,1.1557278686270742,2017-12-16,CN-41,13329.314793274763
5926,35.768299,115.441786,2.0880198325378765,2018-06-12,CN-41,24112.418057670242
5930,36.099121,115.10657,3.0059272287578387,2016-10-30,CN-41,34677.28442274901
5940,35.945272,115.744593,0.23729652234008625,2017-06-27,CN-41,2534.431741083108
5945,35.632416,115.384393,8.66353185841514,<2016-06,CN-41,112354.26874465546
5947,34.401742,115.064382,1.094750349346348,2018-02-22,CN-41,12625.752275608556
5955,35.633567,115.328284,2.3221740200518495,2017-12-06,CN-41,26812.3415706292
5958,35.53652,115.185637,1.3730660695441825,2017-06-07,CN-41,15852.137292918895
5978,34.615403,115.170364,10.401890907410616,<2016-06,CN-41,134758.20857629593
6001,35.952189,115.754698,17.73613041649399,2017-06-27,CN-41,230184.71299147137
6002,35.636909,115.389171,11.312025030679054,<2016-06,CN-41,146709.38949844678
6004,35.94768,115.752205,0.24938678876045206,2017-06-27,CN-41,2664.1966272575146
6018,34.952823,114.844705,0.9050301582107034,<2016-06,CN-41,10445.898585606612
6039,35.947138,115.749628,2.1920296315455072,2017-06-27,CN-41,25323.23237888436
6042,35.950855,115.749758,9.055706958231836,2017-06-27,CN-41,117493.47366935422
6046,35.677704,114.771966,67.9763108518526,2016-10-30,CN-41,880079.2214536566
6051,35.519198,115.12304,16.478018763731896,<2016-06,CN-41,213625.68545662396
6057,34.403328,115.077518,1.1670528696417508,2018-02-22,CN-41,13457.757322395726
6058,34.951664,114.854267,0.43151510731858633,<2016-06,CN-41,4603.502905171058
6071,34.575162,115.782521,0.15129020374985716,2016-06-29,CN-41,1614.4914060733813
6073,34.956672,114.850166,117.31146920667871,<2016-06,CN-41,1539611.6600101409
6116,35.948072,115.75061,0.26112041662598734,2017-06-27,CN-41,2789.546859081066
6121,34.966526,114.845912,0.09830826837526736,<2016-06,CN-41,913.9805781214405
6129,34.952995,114.843212,0.10453562438304843,<2016-06,CN-41,971.6665529014695
6133,35.630014,115.383761,0.6173776198946628,<2016-06,CN-41,6591.223399780926
6160,34.965734,114.851224,118.44387377187078,<2016-06,CN-41,1554428.1326959261
27248,34.332112,116.867967,7.147161055831764,2018-04-20,CN-34,82557.10222906167
27260,34.377426,116.601497,0.25994334676814035,2017-10-27,CN-34,2775.233027811253
27306,34.401794,117.399159,0.46200300247038184,2016-12-06,CN-32,4939.444063506562
27314,34.781114,116.639043,14.564811734869643,2018-06-14,CN-32,189051.29958505803
27327,34.732182,119.180352,0.1439649358592035,2017-05-12,CN-32,1544.4693596578584
27328,38.0988,115.925072,24.41282888849933,2018-06-04,CN-13,317052.2847106076
