trade_date,listed_vwap,block_vwap,block_discount_pct,block_vol_t
2023-10-25,81.2692,74.6261,-8.174,2456363.0
2023-10-26,80.5466,73.8828,-8.273,3281344.0
2023-10-27,78.5033,67.4288,-14.107,6220527.0
2023-10-30,79.5255,69.1214,-13.083,3123300.0
2023-10-31,77.629,66.5932,-14.216,3059159.0
2023-11-01,76.8401,70.7966,-7.865,2125831.0
2023-11-02,75.8865,71.7768,-5.416,1915576.0
2023-11-03,74.7328,77.3205,3.463,2962553.0
2023-11-06,74.9939,76.4761,1.976,1421194.0
2023-11-07,74.173,73.4224,-1.012,1418681.0
2023-11-08,73.3796,72.846,-0.727,1970288.0
2023-11-09,72.8405,71.9901,-1.167,1958653.0
2023-11-10,71.4131,72.9228,2.114,4585758.0
2023-11-13,71.4007,70.5574,-1.181,2703001.0
2023-11-14,71.7107,66.3037,-7.54,2235246.0
2023-11-15,72.0985,56.8244,-21.185,870000.0
2023-11-16,71.4904,69.7468,-2.439,2063262.0
2023-11-17,71.7576,70.3822,-1.917,515400.0
2023-11-20,71.9453,66.9588,-6.931,395924.0
2023-11-21,71.5611,73.5,2.709,100000.0
2023-11-22,71.6101,72.2961,0.958,520981.0
2023-11-23,72.0748,71.0623,-1.405,321171.0
2023-11-24,71.3312,68.8974,-3.412,1298616.0
2023-11-28,71.3143,71.8408,0.738,260964.0
2023-11-29,71.0505,69.5,-2.182,100000.0
2023-11-30,70.9329,72.3956,2.062,895051.0
2023-12-01,69.1256,71.9,4.014,200000.0
2023-12-04,71.1055,70.0281,-1.515,626129.0
2023-12-05,71.0867,78.7727,10.812,340986.0
2023-12-06,71.566,71.2323,-0.466,232536.0
2023-12-07,67.9269,62.1049,-8.571,1024106.0
2023-12-11,70.8964,52.4002,-26.089,452794.0
2023-12-13,71.375,66.5088,-6.818,700574.0
2023-12-14,71.4005,58.1399,-18.572,571766.0
2023-12-15,71.3929,71.3599,-0.046,234102.0
2023-12-18,71.8036,72.4148,0.851,444758.0
2023-12-19,72.7017,69.0355,-5.043,284913.0
2023-12-20,73.2851,70.537,-3.75,326872.0
2023-12-21,77.7999,77.25,-0.707,200000.0
2023-12-22,80.9936,80.1603,-1.029,1213131.0
2023-12-25,80.7538,76.3652,-5.435,3075939.0
2023-12-26,79.5175,80.1183,0.756,1154586.0
2023-12-27,77.553,79.9286,3.063,350000.0
2023-12-28,78.0104,75.7904,-2.846,263338.0
2023-12-29,77.9719,76.0,-2.529,114948.0
2024-01-02,70.47,54.58,-22.549,100000.0
2024-01-03,82.0,67.2834,-17.947,607388.0
2024-01-04,76.5333,66.0397,-13.711,299159.0
2024-01-05,73.025,73.04,0.021,149159.0
2024-01-09,71.02,78.0,9.828,100000.0
2024-01-10,74.9952,78.0,4.007,100000.0
2024-01-25,71.0,62.0,-12.676,120000.0
2024-01-26,73.8652,62.0,-16.063,119000.0
2024-01-29,71.279,82.12,15.209,500000.0
2024-01-31,72.6,79.9925,10.183,485300.0
2024-02-02,75.8729,58.5714,-22.803,630000.0
2024-02-23,80.0,80.5,0.625,109085.0
2024-02-27,82.3787,78.6658,-4.507,300094.0
2024-02-28,82.4396,84.2702,2.221,201480.0
2024-03-06,82.7364,81.7,-1.253,160000.0
2024-03-07,85.0,86.8,2.118,160000.0
2024-03-08,85.729,81.7,-4.7,140000.0
2024-03-11,85.0029,82.81,-2.58,500000.0
2024-03-12,85.8062,86.6,0.925,140000.0
2024-03-14,80.0394,85.1,6.323,100000.0
2024-03-26,87.389,89.0,1.843,527522.0
2024-04-08,86.8621,85.03,-2.109,137776.0
2024-04-09,89.0193,89.025,0.006,695000.0
2024-04-10,83.0,88.7011,6.869,915000.0
2024-04-12,91.8344,90.2,-1.78,300000.0
2024-04-16,89.5286,93.5,4.436,130000.0
2024-04-17,93.0258,91.0,-2.178,156032.0
2024-04-18,92.4166,93.0,0.631,152914.0
2024-04-22,97.6725,87.65,-10.261,559936.0
2024-04-25,102.3219,104.1,1.738,200000.0
2024-04-26,102.3838,97.2727,-4.992,506000.0
2024-04-29,102.4782,97.075,-5.273,400000.0
2024-04-30,101.0,90.5,-10.396,100000.0
2024-05-09,99.8095,91.8,-8.025,108000.0
2024-05-20,97.4558,98.52,1.092,130000.0
2024-05-21,96.0,84.0391,-12.459,256000.0
2024-05-22,97.7937,97.75,-0.045,200000.0
2024-05-23,96.75,74.0,-23.514,114000.0
2024-05-24,98.1271,98.0,-0.13,100000.0
2024-05-28,97.9828,98.0,0.018,100000.0
2024-05-29,95.6336,97.5,1.952,869304.0
2024-05-31,95.0705,97.2,2.24,400000.0
2024-06-03,96.1188,97.1,1.021,480000.0
2024-06-13,96.4605,96.3,-0.166,250000.0
2024-06-19,95.1066,67.21,-29.332,223181.0
2024-06-25,93.6406,93.7143,0.079,700000.0
2024-06-26,93.3533,80.0,-14.304,100000.0
2024-06-27,93.0767,90.0,-3.306,800000.0
2024-06-28,92.776,91.0,-1.914,250000.0
